GeneSymbol,Category
AC000124.1,lincRNA
AC000362.1,processed_pseudogene
AC000364.1,NA
AC000367.1,processed_pseudogene
AC000370.2,antisense
AC000374.1,processed_pseudogene
AC002055.1,NA
AC002055.4,transcribed_unprocessed_pseudogene
AC002056.3,processed_pseudogene
AC002064.3,processed_transcript
AC002064.4,antisense
AC002064.5,lincRNA
AC002066.1,antisense
AC002066.2,NA
AC002069.5,processed_pseudogene
AC002069.6,processed_pseudogene
AC002069.7,processed_pseudogene
AC002070.1,NA
AC002073.3,NA
AC002073.4,NA
AC002075.3,processed_pseudogene
AC002075.4,processed_pseudogene
AC002076.10,antisense
AC002076.9,processed_pseudogene
AC002094.1,NA
AC002094.2,NA
AC002094.3,antisense
AC002094.4,NA
AC002094.5,NA
AC002115.5,lincRNA
AC002115.6,NA
AC002115.7,antisense
AC002117.1,antisense
AC002126.5,protein_coding
AC002127.2,processed_pseudogene
AC002127.4,lincRNA
AC002303.1,NA
AC002310.1,antisense
AC002310.2,NA
AC002310.7,antisense
AC002314.2,NA
AC002314.3,NA
AC002321.1,NA
AC002321.2,NA
AC002331.1,lincRNA
AC002347.1,NA
AC002347.2,NA
AC002351.1,lincRNA
AC002359.1,NA
AC002365.2,processed_pseudogene;protein_coding
AC002365.4,antisense
AC002366.3,processed_pseudogene
AC002368.2,processed_pseudogene
AC002368.3,sense_intronic
AC002368.4,antisense
AC002383.2,lincRNA
AC002386.1,lincRNA
AC002398.5,transcribed_unprocessed_pseudogene
AC002400.1,NA
AC002401.1,antisense
AC002407.1,processed_pseudogene
AC002407.2,processed_pseudogene
AC002429.4,processed_pseudogene
AC002429.5,antisense
AC002450.1,NA
AC002451.3,antisense
AC002454.1,antisense
AC002456.2,antisense
AC002457.1,NA
AC002458.1,processed_pseudogene
AC002463.2,NA
AC002463.3,lincRNA
AC002464.1,misc_RNA
AC002465.2,antisense
AC002467.5,NA
AC002467.7,antisense
AC002470.1,NA
AC002470.2,NA
AC002472.1,NA
AC002472.11,antisense
AC002472.13,protein_coding
AC002472.14,unprocessed_pseudogene
AC002472.8,processed_transcript
AC002472.9,antisense
AC002480.2,NA
AC002480.3,antisense
AC002480.4,antisense
AC002480.5,NA
AC002481.5,antisense
AC002485.1,NA
AC002486.2,processed_pseudogene
AC002486.3,processed_pseudogene
AC002504.1,misc_RNA
AC002511.1,protein_coding
AC002511.2,lincRNA
AC002511.3,lincRNA
AC002523.1,unprocessed_pseudogene
AC002539.1,antisense
AC002542.2,processed_pseudogene
AC002543.2,processed_pseudogene
AC002553.2,antisense;processed_pseudogene
AC002553.4,processed_pseudogene
AC002558.1,NA
AC002558.2,NA
AC002565.1,NA
AC002978.1,NA
AC002979.1,NA
AC002981.2,NA
AC002990.1,NA
AC002992.1,NA
AC002992.4,NA
AC002994.1,NA
AC003002.1,NA
AC003029.4,unitary_pseudogene
AC003030.1,NA
AC003043.2,NA
AC003043.3,NA
AC003045.1,processed_pseudogene
AC003050.1,processed_pseudogene
AC003051.1,lincRNA
AC003070.2,NA
AC003075.4,antisense
AC003077.1,antisense
AC003079.1,NA
AC003080.4,processed_pseudogene
AC003084.2,lincRNA
AC003087.4,processed_pseudogene
AC003088.1,lincRNA
AC003090.1,lincRNA
AC003092.1,lincRNA
AC003092.2,lincRNA
AC003099.1,NA
AC003099.2,NA
AC003101.1,lincRNA
AC003101.2,misc_RNA
AC003102.3,NA
AC003104.1,sense_intronic
AC003111.1,NA
AC003111.2,NA
AC003658.1,NA
AC003664.1,lincRNA
AC003665.1,antisense
AC003666.1,NA
AC003681.1,NA
AC003681.2,NA
AC003682.1,NA
AC003682.2,protein_coding
AC003684.1,NA
AC003684.2,NA
AC003950.1,NA
AC003950.2,NA
AC003956.2,NA
AC003958.1,unprocessed_pseudogene
AC003958.2,antisense
AC003958.5,unprocessed_pseudogene
AC003958.6,unprocessed_pseudogene
AC003963.1,NA
AC003963.2,NA
AC003967.1,NA
AC003968.1,NA
AC003984.1,lincRNA
AC003985.1,lincRNA
AC003986.5,antisense
AC003986.6,antisense
AC003986.7,antisense
AC003988.1,lincRNA
AC003989.3,processed_pseudogene
AC003989.4,processed_pseudogene
AC003991.3,antisense
AC004001.1,NA
AC004006.2,processed_pseudogene
AC004009.3,lincRNA
AC004012.1,lincRNA
AC004014.3,lincRNA
AC004014.4,processed_pseudogene
AC004016.1,NA
AC004016.2,processed_pseudogene
AC004017.1,NA
AC004019.10,processed_pseudogene
AC004019.13,antisense
AC004019.16,processed_pseudogene
AC004019.17,processed_pseudogene
AC004022.7,processed_pseudogene
AC004022.8,processed_pseudogene
AC004034.1,NA
AC004034.2,NA
AC004041.2,antisense
AC004049.2,processed_pseudogene
AC004049.3,processed_pseudogene
AC004051.1,processed_pseudogene
AC004051.2,lincRNA
AC004053.1,antisense
AC004054.1,antisense
AC004057.1,transcribed_processed_pseudogene
AC004062.1,processed_pseudogene
AC004062.2,processed_pseudogene
AC004063.1,lincRNA
AC004066.1,processed_pseudogene
AC004066.2,processed_pseudogene
AC004066.3,antisense
AC004066.5,sense_intronic
AC004067.4,processed_pseudogene
AC004069.1,processed_pseudogene
AC004069.2,lincRNA
AC004069.3,antisense
AC004070.1,lincRNA
AC004073.1,processed_pseudogene
AC004073.2,processed_pseudogene
AC004073.4,processed_pseudogene
AC004074.1,processed_pseudogene
AC004074.3,processed_pseudogene
AC004074.4,processed_pseudogene
AC004079.4,processed_pseudogene
AC004080.12,NA
AC004080.14,NA
AC004080.15,NA
AC004080.17,NA
AC004080.22,NA
AC004086.1,protein_coding
AC004112.1,NA
AC004112.3,NA
AC004112.4,antisense
AC004112.5,unprocessed_pseudogene
AC004112.6,unprocessed_pseudogene
AC004112.7,unprocessed_pseudogene
AC004128.1,NA
AC004129.7,processed_pseudogene
AC004129.8,processed_pseudogene
AC004129.9,processed_pseudogene
AC004134.1,NA
AC004142.1,NA
AC004142.3,NA
AC004148.1,NA
AC004159.1,processed_pseudogene
AC004160.4,antisense
AC004161.4,processed_pseudogene
AC004166.6,unprocessed_pseudogene
AC004221.1,NA
AC004222.1,NA
AC004223.1,NA
AC004231.2,antisense
AC004237.1,antisense
AC004240.2,NA
AC004241.1,NA
AC004258.1,NA
AC004381.1,NA
AC004381.3,NA
AC004381.4,NA
AC004381.6,protein_coding
AC004383.1,NA
AC004383.3,processed_pseudogene
AC004383.4,lincRNA
AC004383.5,lincRNA
AC004386.1,NA
AC004386.3,processed_pseudogene
AC004386.4,processed_pseudogene
AC004410.1,protein_coding
AC004447.1,NA
AC004448.1,NA
AC004448.2,lincRNA
AC004448.3,processed_pseudogene
AC004448.4,processed_pseudogene
AC004448.5,lincRNA
AC004448.6,NA
AC004448.7,lincRNA
AC004449.1,NA
AC004453.8,processed_pseudogene
AC004455.1,sense_intronic
AC004458.3,NA
AC004460.1,NA
AC004460.2,NA
AC004460.3,NA
AC004460.4,unprocessed_pseudogene
AC004461.4,processed_pseudogene
AC004463.1,NA
AC004471.1,NA
AC004471.9,antisense
AC004478.2,processed_pseudogene
AC004485.3,antisense
AC004490.1,NA
AC004490.2,lincRNA
AC004492.1,NA
AC004507.1,protein_coding
AC004510.1,NA
AC004510.2,NA
AC004522.1,NA
AC004535.2,lincRNA
AC004538.2,processed_pseudogene
AC004538.3,processed_transcript
AC004540.4,antisense
AC004540.5,lincRNA
AC004541.1,NA
AC004543.2,lincRNA
AC004547.1,NA
AC004549.6,antisense
AC004562.1,lincRNA
AC004593.2,transcribed_processed_pseudogene
AC004593.3,antisense
AC004596.2,NA
AC004597.1,NA
AC004603.4,lincRNA
AC004611.1,NA
AC004659.1,unprocessed_pseudogene
AC004668.1,NA
AC004671.1,lincRNA
AC004672.1,antisense
AC004673.1,NA
AC004675.1,NA
AC004687.1,processed_pseudogene
AC004691.5,antisense
AC004692.4,antisense
AC004692.5,processed_pseudogene
AC004696.1,lincRNA
AC004699.1,NA
AC004741.3,antisense
AC004741.4,NA
AC004743.1,NA
AC004744.3,antisense
AC004745.1,NA
AC004746.1,NA
AC004754.1,NA
AC004771.1,NA
AC004771.2,antisense
AC004772.1,misc_RNA
AC004774.1,misc_RNA
AC004782.1,sense_intronic
AC004785.1,antisense
AC004790.1,processed_transcript
AC004790.2,NA
AC004797.1,processed_pseudogene
AC004801.2,processed_pseudogene
AC004803.1,antisense
AC004815.1,NA
AC004832.2,NA
AC004834.1,NA
AC004837.3,processed_pseudogene
AC004837.4,antisense
AC004837.5,antisense
AC004840.1,NA
AC004840.8,transcribed_unitary_pseudogene
AC004840.9,NA
AC004841.1,NA
AC004846.1,NA
AC004846.2,NA
AC004851.1,NA
AC004854.4,antisense
AC004854.5,processed_pseudogene
AC004855.1,NA
AC004862.1,misc_RNA
AC004862.6,antisense
AC004863.6,processed_transcript
AC004866.1,processed_pseudogene
AC004866.3,unprocessed_pseudogene
AC004869.2,lincRNA
AC004869.3,lincRNA
AC004869.4,NA
AC004870.3,lincRNA
AC004870.4,processed_transcript
AC004870.5,processed_pseudogene
AC004870.6,processed_pseudogene
AC004875.1,NA
AC004876.1,unprocessed_pseudogene
AC004878.2,NA
AC004878.3,NA
AC004878.5,NA
AC004878.6,NA
AC004878.7,NA
AC004884.1,NA
AC004889.1,NA
AC004893.10,processed_pseudogene
AC004893.11,NA
AC004894.2,processed_pseudogene
AC004895.2,misc_RNA
AC004895.4,lincRNA
AC004898.1,NA
AC004898.2,NA
AC004899.3,processed_pseudogene
AC004901.1,lincRNA
AC004906.3,antisense
AC004907.2,processed_pseudogene
AC004909.3,processed_pseudogene
AC004911.2,processed_pseudogene
AC004917.1,NA
AC004920.2,processed_pseudogene
AC004920.3,lincRNA
AC004923.1,NA
AC004924.1,NA
AC004925.1,NA
AC004932.1,NA
AC004932.2,NA
AC004932.3,NA
AC004932.4,NA
AC004938.5,processed_pseudogene
AC004941.1,NA
AC004941.2,NA
AC004941.3,antisense
AC004941.4,processed_pseudogene
AC004941.5,processed_pseudogene
AC004945.1,processed_pseudogene
AC004945.2,processed_transcript
AC004947.2,lincRNA
AC004951.5,transcribed_unprocessed_pseudogene
AC004951.6,lincRNA
AC004954.2,processed_pseudogene
AC004957.5,processed_pseudogene
AC004957.6,processed_pseudogene
AC004965.1,antisense
AC004967.1,NA
AC004967.11,unprocessed_pseudogene
AC004967.7,transcribed_unprocessed_pseudogene
AC004967.8,unprocessed_pseudogene
AC004968.1,NA
AC004968.2,misc_RNA
AC004969.1,NA
AC004971.1,NA
AC004975.1,NA
AC004979.1,NA
AC004979.2,NA
AC004979.3,NA
AC004979.4,NA
AC004979.5,NA
AC004979.6,NA
AC004979.7,NA
AC004980.1,NA
AC004980.10,processed_pseudogene
AC004980.11,protein_coding
AC004980.3,NA
AC004980.4,NA
AC004980.7,transcribed_unprocessed_pseudogene
AC004980.8,unprocessed_pseudogene
AC004980.9,unprocessed_pseudogene
AC004985.1,NA
AC004985.12,transcribed_unprocessed_pseudogene
AC004985.13,transcribed_unprocessed_pseudogene
AC004987.10,processed_pseudogene
AC004987.8,processed_pseudogene
AC004987.9,processed_pseudogene
AC004988.1,antisense
AC004994.2,processed_pseudogene
AC004996.1,processed_pseudogene
AC004996.2,processed_pseudogene
AC004998.2,misc_RNA
AC005004.1,misc_RNA
AC005005.1,misc_RNA
AC005006.1,NA
AC005007.3,processed_pseudogene
AC005008.2,lincRNA
AC005008.3,processed_pseudogene
AC005009.1,antisense
AC005009.2,antisense
AC005013.5,lincRNA
AC005013.6,NA
AC005014.4,protein_coding
AC005014.5,processed_pseudogene
AC005017.1,antisense
AC005017.2,processed_pseudogene
AC005019.2,processed_pseudogene
AC005019.3,lincRNA
AC005020.1,NA
AC005022.1,lincRNA
AC005027.3,NA
AC005027.4,antisense
AC005029.1,lincRNA
AC005033.6,processed_pseudogene
AC005034.2,processed_pseudogene
AC005034.3,processed_pseudogene
AC005035.1,NA
AC005035.2,NA
AC005037.1,processed_pseudogene
AC005037.3,antisense
AC005037.4,processed_pseudogene
AC005037.5,processed_pseudogene
AC005037.6,unprocessed_pseudogene
AC005037.7,unprocessed_pseudogene
AC005037.8,unprocessed_pseudogene
AC005040.1,NA
AC005040.2,processed_pseudogene
AC005040.3,processed_pseudogene
AC005041.10,processed_pseudogene
AC005041.11,transcribed_unitary_pseudogene
AC005041.8,processed_pseudogene
AC005041.9,antisense
AC005042.2,processed_pseudogene
AC005042.3,processed_pseudogene
AC005042.4,antisense
AC005042.5,lincRNA
AC005046.5,processed_pseudogene
AC005048.1,NA
AC005060.1,NA
AC005062.2,sense_overlapping
AC005062.3,processed_pseudogene
AC005067.4,processed_pseudogene
AC005068.4,processed_pseudogene
AC005071.1,NA
AC005071.2,NA
AC005071.3,NA
AC005075.5,NA
AC005076.1,NA
AC005076.5,antisense
AC005077.12,transcribed_unprocessed_pseudogene
AC005077.14,processed_pseudogene
AC005077.5,transcribed_unprocessed_pseudogene
AC005077.7,transcribed_unprocessed_pseudogene
AC005077.8,processed_pseudogene
AC005077.9,NA
AC005082.1,NA
AC005082.12,lincRNA
AC005082.2,NA
AC005083.1,processed_transcript
AC005086.1,NA
AC005086.2,NA
AC005086.3,NA
AC005086.4,NA
AC005088.1,NA
AC005094.2,processed_pseudogene
AC005102.1,processed_pseudogene
AC005104.1,NA
AC005104.3,antisense
AC005105.1,lincRNA
AC005105.2,processed_pseudogene
AC005138.1,NA
AC005150.1,lincRNA
AC005152.1,NA
AC005152.2,processed_transcript
AC005152.3,lincRNA
AC005154.5,NA
AC005154.6,processed_transcript
AC005154.7,transcribed_processed_pseudogene
AC005154.8,processed_pseudogene
AC005154.9,NA
AC005159.1,NA
AC005160.3,sense_intronic
AC005161.1,NA
AC005162.3,NA
AC005162.4,antisense
AC005162.5,antisense
AC005174.1,misc_RNA
AC005174.2,processed_pseudogene
AC005176.1,protein_coding
AC005178.1,processed_pseudogene
AC005181.1,NA
AC005184.1,NA
AC005186.1,lincRNA
AC005187.1,processed_pseudogene
AC005189.1,NA
AC005189.6,processed_pseudogene
AC005192.5,processed_pseudogene
AC005197.1,NA
AC005197.2,NA
AC005197.3,NA
AC005197.4,NA
AC005204.2,processed_pseudogene
AC005205.2,processed_pseudogene
AC005205.3,processed_pseudogene
AC005205.4,processed_pseudogene
AC005208.1,NA
AC005215.1,processed_pseudogene
AC005220.3,antisense
AC005224.1,NA
AC005224.2,lincRNA
AC005225.1,NA
AC005229.5,processed_pseudogene
AC005229.7,processed_pseudogene
AC005232.1,NA
AC005235.1,lincRNA
AC005236.1,NA
AC005237.2,processed_pseudogene
AC005237.4,antisense
AC005239.1,misc_RNA
AC005243.1,NA
AC005251.1,NA
AC005251.2,NA
AC005251.3,processed_pseudogene
AC005251.4,processed_pseudogene
AC005258.1,NA
AC005265.1,NA
AC005271.1,NA
AC005276.1,lincRNA
AC005280.1,NA
AC005280.2,processed_transcript
AC005281.1,protein_coding
AC005281.2,antisense
AC005284.1,NA
AC005294.1,processed_pseudogene
AC005300.5,processed_pseudogene
AC005301.5,transcribed_unprocessed_pseudogene
AC005301.8,lincRNA
AC005304.1,lincRNA
AC005304.2,unprocessed_pseudogene
AC005307.1,NA
AC005323.1,antisense
AC005324.1,lincRNA
AC005324.4,processed_pseudogene
AC005324.6,antisense
AC005324.7,lincRNA
AC005326.2,processed_pseudogene
AC005329.1,NA
AC005329.2,antisense
AC005330.1,processed_pseudogene
AC005332.1,transcribed_unprocessed_pseudogene
AC005332.2,NA
AC005336.1,NA
AC005336.2,protein_coding
AC005342.1,lincRNA
AC005351.1,processed_pseudogene
AC005355.1,misc_RNAlincRNA
AC005355.2,lincRNA
AC005358.1,lincRNA
AC005358.3,antisense
AC005370.1,NA
AC005392.1,unprocessed_pseudogene
AC005392.13,lincRNA
AC005392.2,NA
AC005392.8,lincRNA
AC005399.1,misc_RNA
AC005410.2,NA
AC005412.1,processed_pseudogene
AC005481.5,antisense
AC005483.3,antisense
AC005484.1,antisense
AC005484.2,NA
AC005487.2,lincRNA
AC005488.11,unprocessed_pseudogene
AC005488.12,transcribed_unprocessed_pseudogene
AC005488.13,NA
AC005492.2,processed_pseudogene
AC005493.1,NA
AC005498.1,NA
AC005498.2,NA
AC005510.1,processed_pseudogene
AC005510.2,processed_pseudogene
AC005512.1,NA
AC005512.2,NA
AC005513.1,NA
AC005517.1,NA
AC005517.2,processed_pseudogene
AC005517.3,processed_pseudogene
AC005518.2,sense_intronic
AC005522.6,processed_pseudogene
AC005522.7,lincRNA
AC005522.8,processed_pseudogene
AC005532.5,processed_transcript
AC005534.6,processed_pseudogene
AC005534.8,antisense
AC005534.9,NA
AC005537.2,lincRNA
AC005538.5,antisense
AC005539.2,processed_pseudogene
AC005539.3,processed_pseudogene
AC005539.4,sense_intronic
AC005540.3,antisense
AC005544.1,NA
AC005547.1,NA
AC005548.1,NA
AC005548.2,misc_RNA
AC005550.3,antisense
AC005550.4,lincRNA
AC005550.5,lincRNA
AC005550.6,processed_pseudogene
AC005562.1,misc_RNA
AC005562.2,transcribed_unprocessed_pseudogene
AC005562.3,transcribed_unprocessed_pseudogene
AC005582.1,processed_transcript
AC005586.1,NA
AC005586.2,NA
AC005588.2,processed_pseudogene
AC005592.1,lincRNA
AC005592.2,antisense
AC005594.1,transcribed_unprocessed_pseudogene
AC005594.2,antisense
AC005609.1,NA
AC005609.12,transcribed_unprocessed_pseudogene
AC005609.17,NA
AC005609.2,processed_pseudogene
AC005609.3,NA
AC005616.1,NA
AC005618.1,NA
AC005618.2,NA
AC005626.1,NA
AC005631.1,NA
AC005631.3,NA
AC005632.1,NA
AC005632.2,NA
AC005670.1,NA
AC005674.1,NA
AC005682.5,processed_transcript
AC005682.6,unprocessed_pseudogene
AC005682.7,processed_pseudogene
AC005682.8,NA
AC005696.1,NA
AC005696.2,misc_RNA
AC005697.1,NA
AC005697.2,NA
AC005702.1,NA
AC005702.2,transcribed_unprocessed_pseudogene
AC005703.2,lincRNAmisc_RNA
AC005703.3,lincRNA
AC005722.4,processed_pseudogene
AC005725.1,NA
AC005726.1,antisense
AC005726.11,processed_transcript
AC005726.2,NA
AC005726.3,NA
AC005726.4,NA
AC005726.5,NA
AC005726.6,protein_coding
AC005726.7,NA
AC005730.2,transcribed_processed_pseudogene
AC005740.3,processed_pseudogene
AC005740.4,processed_pseudogene
AC005740.5,antisense
AC005741.1,processed_pseudogene
AC005741.2,processed_pseudogene
AC005746.1,NA
AC005752.1,NA
AC005752.2,NA
AC005752.3,NA
AC005754.1,NA
AC005756.1,lincRNA
AC005768.1,NA
AC005772.2,lincRNA
AC005773.1,processed_pseudogene
AC005779.1,NA
AC005790.2,processed_pseudogene
AC005795.1,NA
AC005803.1,NA
AC005808.3,lincRNA
AC005820.2,transcribed_unprocessed_pseudogene
AC005822.1,processed_pseudogene
AC005826.1,NA
AC005829.1,NA
AC005831.1,NA
AC005837.3,NA
AC005838.2,unprocessed_pseudogene
AC005840.1,processed_pseudogene
AC005840.2,processed_transcript
AC005841.1,NA
AC005846.1,misc_RNA
AC005863.1,lincRNA
AC005863.2,lincRNA
AC005866.1,NA
AC005868.1,lincRNA
AC005879.1,NA
AC005884.1,processed_pseudogene
AC005895.3,NA
AC005899.1,NA
AC005908.1,NA
AC005915.1,NA
AC005922.3,antisense
AC005926.1,NA
AC005932.1,misc_RNA
AC005943.1,misc_RNA
AC005946.1,NA
AC005962.1,processed_pseudogene
AC005962.2,protein_coding
AC005971.1,NA
AC005971.2,misc_RNA
AC005971.3,NA
AC005996.1,misc_RNA
AC006000.4,processed_pseudogene
AC006000.5,lincRNA
AC006001.1,processed_pseudogene
AC006003.1,NA
AC006003.3,sense_intronic
AC006004.1,antisense
AC006007.1,lincRNA
AC006011.4,processed_pseudogene
AC006013.1,NA
AC006014.10,NA
AC006014.5,NA
AC006014.7,transcribed_unprocessed_pseudogene
AC006014.8,transcribed_unprocessed_pseudogene
AC006017.2,NA
AC006019.3,antisense
AC006019.4,antisense
AC006021.1,NA
AC006022.4,processed_pseudogene
AC006023.8,unprocessed_pseudogene
AC006024.4,protein_coding
AC006026.1,NA
AC006026.11,processed_pseudogene
AC006026.12,processed_pseudogene
AC006026.13,antisense
AC006026.9,processed_pseudogene
AC006027.2,NA
AC006028.10,NA
AC006028.11,processed_pseudogene
AC006028.9,NA
AC006030.1,processed_pseudogene
AC006032.1,NA
AC006033.1,NA
AC006033.22,processed_pseudogene
AC006035.1,NA
AC006037.2,lincRNA
AC006038.4,NA
AC006039.1,NA
AC006039.4,lincRNA
AC006039.5,processed_pseudogene
AC006040.2,NA
AC006041.1,lincRNA
AC006042.6,antisense
AC006042.7,antisense
AC006042.8,processed_pseudogene
AC006045.3,processed_pseudogene
AC006050.2,processed_transcript
AC006050.3,unprocessed_pseudogene
AC006052.1,processed_pseudogene
AC006057.2,NA
AC006057.3,NA
AC006059.1,misc_RNA
AC006064.1,antisense
AC006065.1,NA
AC006065.2,NA
AC006070.11,unprocessed_pseudogene
AC006070.12,unprocessed_pseudogene
AC006070.13,unprocessed_pseudogene
AC006070.7,unprocessed_pseudogene
AC006076.1,lincRNA
AC006111.1,NA
AC006111.2,NA
AC006115.1,NA
AC006116.1,NA
AC006116.3,NA
AC006125.1,NA
AC006128.1,NA
AC006132.1,misc_RNA
AC006133.3,processed_pseudogene
AC006144.1,NA
AC006146.1,NA
AC006147.1,NA
AC006150.1,antisense
AC006152.1,processed_pseudogene
AC006153.3,unprocessed_pseudogene
AC006156.1,NA
AC006156.2,unprocessed_pseudogene
AC006156.3,NA
AC006156.4,NA
AC006156.5,NA
AC006156.6,lincRNA
AC006157.2,NA
AC006159.3,lincRNA
AC006159.4,antisense
AC006159.5,antisense
AC006160.1,NA
AC006160.4,processed_pseudogene
AC006160.5,antisense
AC006160.8,NA
AC006195.2,processed_pseudogene
AC006196.1,lincRNA
AC006199.1,lincRNA
AC006205.2,NA
AC006207.1,processed_pseudogene
AC006213.1,NA
AC006213.2,NA
AC006227.1,lincRNA
AC006230.3,processed_pseudogene
AC006230.4,NA
AC006238.1,misc_RNA
AC006262.2,NA
AC006271.1,unprocessed_pseudogene
AC006271.2,transcribed_unprocessed_pseudogene
AC006271.3,unprocessed_pseudogene
AC006273.1,NA
AC006276.1,NA
AC006277.2,antisense
AC006288.1,NA
AC006293.3,transcribed_processed_pseudogene
AC006296.1,lincRNA
AC006296.2,lincRNA
AC006296.3,lincRNA
AC006315.1,NA
AC006322.1,NA
AC006323.1,NA
AC006324.1,antisense
AC006326.2,processed_pseudogene
AC006326.3,processed_pseudogene
AC006326.5,processed_pseudogene
AC006328.1,NA
AC006328.2,NA
AC006328.9,processed_pseudogene
AC006330.1,NA
AC006335.10,unprocessed_pseudogene
AC006335.11,unprocessed_pseudogene
AC006335.12,NA
AC006335.2,NA
AC006335.6,transcribed_unprocessed_pseudogene
AC006335.7,NA
AC006349.1,misc_RNA
AC006355.3,processed_pseudogene
AC006357.1,NA
AC006366.3,processed_pseudogene
AC006366.5,lincRNA
AC006367.1,NA
AC006368.1,NA
AC006369.2,antisense
AC006369.3,lincRNA
AC006370.2,NA
AC006371.1,NA
AC006372.1,NA
AC006372.2,NA
AC006372.4,lincRNA
AC006372.5,lincRNA
AC006372.6,processed_transcript
AC006373.1,lincRNA
AC006374.2,processed_pseudogene
AC006377.1,NA
AC006378.2,antisense
AC006378.3,NA
AC006380.1,NA
AC006380.3,lincRNA
AC006385.4,processed_pseudogene
AC006390.3,processed_pseudogene
AC006390.4,processed_pseudogene
AC006427.1,processed_pseudogene
AC006427.2,processed_pseudogene
AC006427.3,transcribed_processed_pseudogene
AC006435.1,NA
AC006443.2,NA
AC006445.1,NA
AC006445.6,processed_pseudogene
AC006445.7,processed_pseudogene
AC006445.8,lincRNA
AC006452.1,misc_RNA
AC006452.3,NA
AC006455.1,NA
